FIELD1,FIELD2,FIELD3
BTDM,2111,B
CMP,1484,D
CMP,1485,D
CMP,1486,D
EIB,1791,F
EIB,1792,F
EIB,1793,F
EIB,1794,G
EIP,1959,B
EIP,1960,B
EIP,1961,F
EIP,1962,F
EIP,1963,F
ESB,2222,B
ESB,2223,C
FTDM,2584,D
FTDM,2585,D
FTDM,2586,A
FTDM,2587,A
GRIT,2655,B
GRIT,2656,B
GRIT,2657,B
GRIT,2658,A
GRIT,2659,A
GRIT,2660,A
HLM,2862,J
HRM,3002,E
HRM,3003,D
HTDM,3200,A
HTDM,3201,A
HTDM,3202,B
HTDM,3203,B
IBP,2971,D
IBP,2972,D
IBP,2973,D
LDA,1077,
MTDM,3667,C
MTDM,3668,C
MTDM,3669,D
MTDM,3670,D
PFL,4075,G
PFN,4205,G
PMK,4477,J
QSRM,4613,A
RMS,4860,J
SEM,4987,F
SEOR,3241,B
SEOR,3242,B
SEPP,3347,D
SEPP,3348,D
STDM,5189,C
STDM,5190,C
STDM,5191,D
STDM,5192,D
TTDM,5563,E
TTDM,5564,E
TTDM,5565,F
TTDM,5566,F
AAM,1061,J
ADC,1079,E
ADC,1080,E
BSM,1919,K
BTDM,2140,E
BTDM,2141,E
EIB,1798,D
EIB,1799,D
EIB,1800,A
EIB,1801,A
ESB,2228,F
ESB,2229,E
FMP,2455,E
FMP,2456,E
FMP,2457,E
FMS,2399,J
HTDM,3240,A
HTDM,3241,A
HTOR,2780,B
HTOR,2781,B
BLTDM,1701,D
BLTDM,1702,D
LDA,1116,
MTDM,3735,I
MTDM,3736,I
PFN,4227,G
STDM,5261,G
STDM,5262,G
ADC,1050,A
ADC,1051,A
ADC,1052,A
BTDM,2078,H
BTDM,2079,H
EIP,1933,E
EIP,1934,E
FTDM,2556,H
FTDM,2557,H
GRIT,2651,B
GRIT,2652,B
HLM,2844,A
HRM,2988,B
HTDM,3170,H
HTDM,3171,H
TTDM,5529,D
TTDM,5530,D
ADC,1107,C
HRM,3039,H
PBM,3973,K
PFL,4100,J
PFN,4233,C
STDM,5289,C
STDM,5290,C
ACT,1186,E
ADC,1066,B
ADC,1067,B
BFS,1440,A
BOR,1373,C
BSM,1915,G
BTDM,2120,E
BTDM,2121,E
EIP,1970,C
EIP,1971,C
EIP,1972,D
EIP,1973,D
FTDM,2600,F
FTDM,2601,F
FTDM,2602,C
FTDM,2603,C
HRM,3011,C
MTDM,3687,C
MTDM,3688,C
PBM,3941,B
PHT,4350,G
PMK,4482,D
QSRM,4623,C
RMS,4867,F
STDM,5209,C
STDM,5210,C
TTDM,5575,I
TTDM,5576,I
TTDM,5577,J
TTDM,5578,J
ADC,1084,A
BMOR,1263,B
BMOR,1264,B
BOR,1382,C
BOR,1383,C
CMP,1491,B
CMP,1492,B
EIP,2005,G
EIP,2006,G
EPP,2153,B
EPP,2154,B
ESB,2231,A
FLPP,2338,C
FLPP,2339,C
FLPP,2340,C
FMP,2458,D
FMP,2459,D
FMP,2461,G
FMP,2462,G
FMP,2463,G
GRIT,2661,A
HTDM,3250,H
HTDM,3251,H
HTOR,2782,E
HTOR,2783,E
IBP,2988,A
IBP,2989,A
IBP,2990,A
IBP,2991,B
IBP,2992,B
IBP,2993,B
MTDM,3717,J
MTDM,3718,J
PSE,3173,B
RFSM,4761,E
SEOR,3250,C
SEOR,3251,C
SEOR,3252,C
CMP,1495,D
EFB,1693,A
EFB,1694,A
EFB,1695,A
EIB,1825,B
EIB,1826,B
EIB,1827,B
EIP,2034,B
EIP,2035,B
EIP,2036,B
SEM,5015,B
AAM,1110,D
ACT,1241,E
ASM,1364,J
BFS,1500,H
BLTDM,1803,H
BLTDM,1804,H
BLTDM,1805,I
BLTDM,1806,I
BSM,1971,I
BSM,1972,H
BTDM,2284,C
BTDM,2285,C
BTDM,2286,D
BTDM,2287,D
BTDM,2288,A
BTDM,2289,A
FTDM,2758,E
FTDM,2759,E
FTDM,2760,F
FTDM,2761,F
FTDM,2762,C
FTDM,2763,C
HRM,3067,D
HRM,3068,A
HTDM,3368,G
HTDM,3369,G
HTDM,3370,H
HTDM,3371,H
MTDM,3843,E
MTDM,3844,E
MTDM,3845,F
MTDM,3846,F
PBM,4010,D
PBM,4011,E
PFL,4137,A
PFN,4270,F
PFN,4271,G
PMK,4536,A
RFSM,4802,C
SEM,5054,G
STDM,5373,A
STDM,5374,A
STDM,5375,B
STDM,5376,B
TTDM,5737,J
TTDM,5738,J
TTDM,5739,G
TTDM,5740,G
BLTDM,1635,B
BLTDM,1636,B
EIP,1946,H
EIP,1947,H
MCS,3466,C
PHT,4336,D
ACT,1197,E
LDA,1107,
LDA,1108,
FOR,2605,D
FTDM,2710,I
FTDM,2711,I
PFN,4248,F
ACT,1207,H
ADC,1102,E
ADC,1103,E
ADC,1104,E
ADC,1105,F
ADC,1106,F
BLTDM,1707,G
BLTDM,1708,G
BMOR,1274,C
BMOR,1275,C
BMOR,1276,G
BMOR,1277,G
CSP,1577,A
CSP,1578,A
CSP,1579,A
EIB,1820,E
EIB,1821,E
EIB,1822,E
EIP,2017,A
EIP,2018,A
EIP,2019,A
EIP,2020,C
ESB,2235,D
ESB,2236,B
FTDM,2640,F
FTDM,2641,F
GRIT,2673,A
GRIT,2674,A
GRIT,2675,A
HRM,3034,A
HTDM,3268,G
HTDM,3269,G
HTOR,2796,G
HTOR,2797,G
HTOR,2798,F
HTOR,2799,F
IBP,3000,C
IBP,3001,C
IBP,3002,D
LDA,1119,
MCS,3496,J
MTDM,3743,E
MTDM,3744,E
RFSM,4771,D
RMS,4882,J
SEM,5012,I
STDM,5265,E
STDM,5266,E
AAM,1059,H
ACT,1191,J
ACT,1192,K
ASM,1317,G
BLTDM,1679,A
BLTDM,1680,A
FMS,2396,H
FMS,2397,G
FTDM,2618,E
FTDM,2619,E
HRM,3019,J
MCS,3485,K
MCS,3486,J
PBM,3949,I
PFN,4214,E
QSRM,4628,G
RMS,4873,B
SEM,4998,G
SEM,4999,F
TTDM,5599,G
TTDM,5600,G
AAM,1123,F
ADC,1179,F
ADC,1180,F
ADC,1181,E
ADC,1182,E
ADC,1183,E
BFS,1514,K
BLTDM,1831,I
BLTDM,1832,I
CMP,1530,C
CMP,1531,C
EFB,1721,C
EFB,1722,C
EFB,1723,B
EFB,1724,B
EIB,1865,B
EIB,1866,B
FMP,2540,C
FMP,2541,C
FMP,2542,D
FMP,2543,D
FMP,2544,D
FOR,2620,D
FOR,2621,D
HLM,2938,I
IBP,3043,A
MTDM,3869,D
MTDM,3870,D
PHT,4418,I
PMK,4549,E
QSRM,4687,K
SEM,5067,I
SEOR,3299,D
SEOR,3300,D
SEOR,3301,E
SEOR,3302,E
SEOR,3303,E
SEPP,3407,C
SEPP,3408,C
SEPP,3409,B
SEPP,3410,B
SEPP,3411,B
STDM,5409,C
STDM,5410,C
TTDM,5769,D
TTDM,5770,D
BFS,1458,J
BLTDM,1699,A
BLTDM,1700,A
FTDM,2638,E
FTDM,2639,E
HLM,2881,G
LDA,1114,
LDA,1115,
MCS,3495,I
PHT,4369,D
PMK,4494,E
ADC,1122,B
ADC,1123,B
ADC,1124,B
CMP,1513,B
CMP,1514,B
EPP,2181,B
EPP,2182,B
HLM,2910,A
HTDM,3334,F
HTDM,3335,F
MCS,3517,I
RMS,4903,I
SEM,5033,H
ACT,1250,A
ASM,1380,D
BFS,1515,B
BSM,1984,J
BTDM,2316,G
BTDM,2317,G
BTDM,2318,H
BTDM,2319,H
FMS,2463,H
FTDM,2794,G
FTDM,2795,G
HRM,3076,B
HTDM,3402,B
HTDM,3403,B
HTDM,3404,I
HTDM,3405,I
HTOR,2859,D
HTOR,2860,D
HTPS,2902,B
LDA,1207,
LDA,1208,
MCS,3546,F
MCS,3547,E
MCS,3548,G
MTDM,3871,A
MTDM,3872,A
MTDM,3873,B
MTDM,3874,B
PBM,4022,K
